City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Rosetta,EG,2021-04-25 02:16:05,31.4044,30.4164,62.6,82,0,4.61
67,Qazvin,IR,2021-04-25 02:16:06,36.2797,50.0049,59.0,58,0,4.61
68,Hithadhoo,MV,2021-04-25 02:16:06,-0.6,73.0833,83.05,67,5,5.75
69,Lasa,IT,2021-04-25 02:13:44,46.6166,10.7002,48.0,75,0,4.61
70,Vardo,NO,2021-04-25 02:11:16,70.3705,31.1107,35.26,73,100,21.16
71,Ambon,ID,2021-04-25 02:16:07,-3.6954,128.1814,89.6,62,40,5.75
72,Dingle,PH,2021-04-25 02:16:08,10.9995,122.6711,88.2,56,57,1.39
73,Longyearbyen,SJ,2021-04-25 02:16:08,78.2186,15.6401,23.0,80,75,3.33
74,Talnakh,RU,2021-04-25 02:16:08,69.4865,88.3972,14.4,93,100,10.04
75,Sao Filipe,CV,2021-04-25 02:16:09,14.8961,-24.4956,72.41,74,6,10.4
76,Kruisfontein,ZA,2021-04-25 02:13:57,-34.0033,24.7314,60.22,77,37,5.57
77,Nagua,DO,2021-04-25 02:16:09,19.3832,-69.8474,75.99,85,30,1.99
78,Saint-Joseph,RE,2021-04-25 02:16:10,-21.3667,55.6167,78.8,73,53,23.02
79,Wellington,NZ,2021-04-25 02:16:10,-41.2866,174.7756,62.6,51,25,21.85
80,Broken Hill,AU,2021-04-25 02:16:11,-31.95,141.4333,66.2,45,0,8.05
81,Tura,IN,2021-04-25 02:16:11,25.5198,90.2201,86.94,26,3,3.27
82,Seoul,KR,2021-04-25 02:14:39,37.5683,126.9778,66.2,45,0,13.8
83,Manama,BH,2021-04-25 02:15:05,26.2154,50.5832,82.4,47,100,8.05
84,Atherton,GB,2021-04-25 02:16:12,53.5237,-2.4935,44.01,71,0,3.0
85,San Patricio,US,2021-04-25 02:14:15,28.017,-97.5169,79.0,64,1,9.22
86,Cape Town,ZA,2021-04-25 02:15:13,-33.9258,18.4232,60.01,82,0,3.44
87,Manzil Salim,TN,2021-04-25 02:16:12,35.8567,8.4765,50.0,71,0,6.91
88,Noyabrsk,RU,2021-04-25 02:16:13,63.1994,75.4507,33.62,100,100,4.36
89,Aksarka,RU,2021-04-25 02:16:13,66.5606,67.7975,32.45,89,100,5.55
90,Georgetown,MY,2021-04-25 02:14:18,5.4112,100.3354,84.2,89,20,4.61
91,Tuktoyaktuk,CA,2021-04-25 02:13:49,69.4541,-133.0374,24.8,86,20,10.36
92,Zheleznodorozhnyy,RU,2021-04-25 02:16:14,55.7503,38.0042,33.8,80,0,13.42
93,Torbay,CA,2021-04-25 02:16:14,47.6666,-52.7314,37.99,93,40,13.8
94,Zhezkazgan,KZ,2021-04-25 02:16:15,47.8043,67.7144,43.2,40,100,8.5
95,Partizanskoye,RU,2021-04-25 02:16:15,55.5006,94.39,36.14,78,99,11.61
96,Emporia,US,2021-04-25 02:16:06,38.4039,-96.1817,60.8,44,1,3.44
97,Vao,NC,2021-04-25 02:16:16,-22.6667,167.4833,74.19,71,100,12.37
98,Bilma,NE,2021-04-25 02:16:16,18.6853,12.9164,83.98,13,0,5.66
99,Upernavik,GL,2021-04-25 02:13:19,72.7868,-56.1549,23.18,82,9,6.64
100,Susanville,US,2021-04-25 02:16:17,40.4163,-120.653,48.2,49,90,14.97
101,Parana,AR,2021-04-25 02:16:17,-31.732,-60.5238,64.99,95,0,10.25
102,Lebu,CL,2021-04-25 02:16:18,-37.6167,-73.65,53.76,83,0,15.01
103,Saeby,DK,2021-04-25 02:16:18,57.3319,10.5225,34.0,75,20,5.75
104,Arlit,NE,2021-04-25 02:12:09,18.7369,7.3853,86.38,12,9,4.43
105,Katsuura,JP,2021-04-25 02:15:21,35.1333,140.3,69.8,56,75,14.97
106,Aksha,RU,2021-04-25 02:16:19,50.2814,113.2867,55.13,12,100,10.04
107,Novaya Igirma,RU,2021-04-25 02:16:20,57.1334,103.9112,35.02,85,100,8.72
108,Denizli,TR,2021-04-25 02:16:20,37.8402,29.0698,51.8,87,75,3.44
109,Bayan,CN,2021-04-25 02:16:20,46.0833,127.4,52.68,24,1,13.0
110,Kavaratti,IN,2021-04-25 02:15:26,10.5669,72.642,84.56,67,14,8.95
111,Sao Felix Do Xingu,BR,2021-04-25 02:16:21,-6.6447,-51.995,72.54,97,100,0.83
112,Beyneu,KZ,2021-04-25 02:16:21,45.3167,55.2,58.84,46,90,4.43
113,Sardarshahr,IN,2021-04-25 02:16:21,28.4333,74.4833,79.09,16,0,3.27
114,Aabybro,DK,2021-04-25 02:16:22,57.1584,9.7367,34.0,75,20,5.75
115,Bagdarin,RU,2021-04-25 02:16:22,54.4333,113.6,44.04,28,100,4.05
116,Okahandja,NA,2021-04-25 02:16:22,-21.9833,16.9167,57.2,47,5,5.75
117,Avarua,CK,2021-04-25 02:14:05,-21.2078,-159.775,82.4,69,20,12.66
118,Algete,ES,2021-04-25 02:16:23,40.5971,-3.4974,51.8,93,0,1.14
119,Traverse City,US,2021-04-25 02:16:23,44.7631,-85.6206,39.2,93,90,11.5
120,Kaeo,NZ,2021-04-25 02:16:24,-35.1,173.7833,69.01,58,28,8.01
121,Dikson,RU,2021-04-25 02:16:24,73.5069,80.5464,7.39,95,68,7.29
122,Te Anau,NZ,2021-04-25 02:16:25,-45.4167,167.7167,47.53,64,15,8.43
123,Luderitz,NA,2021-04-25 02:16:25,-26.6481,15.1594,62.29,80,97,5.01
124,Maridi,SS,2021-04-25 02:16:26,4.9158,29.4742,66.25,98,100,5.66
125,Airai,TL,2021-04-25 02:16:26,-8.9266,125.4092,71.26,53,22,3.94
126,Baruun-Urt,MN,2021-04-25 02:16:27,46.6806,113.2792,55.17,21,100,13.02
127,Champerico,GT,2021-04-25 02:16:27,14.3,-91.9167,66.99,95,98,6.46
128,Albany,US,2021-04-25 02:13:31,42.6001,-73.9662,55.0,40,100,1.92
129,Kavieng,PG,2021-04-25 02:16:11,-2.5744,150.7967,85.32,69,15,9.8
130,Port-Gentil,GA,2021-04-25 02:14:13,-0.7193,8.7815,77.76,88,87,10.04
131,Thompson,CA,2021-04-25 02:15:11,55.7435,-97.8558,26.6,46,75,6.91
132,Yar-Sale,RU,2021-04-25 02:16:28,66.8333,70.8333,27.41,98,100,5.46
133,Asau,RO,2021-04-25 02:14:32,46.4333,26.4,41.0,60,99,2.86
134,Salalah,OM,2021-04-25 02:16:29,17.0151,54.0924,82.4,78,40,3.44
135,Port Hedland,AU,2021-04-25 02:16:29,-20.3167,118.5667,89.6,19,0,17.27
136,East London,ZA,2021-04-25 02:16:30,-33.0153,27.9116,63.9,77,99,5.28
137,Lorengau,PG,2021-04-25 02:16:30,-2.0226,147.2712,83.57,71,13,5.32
138,Birao,CF,2021-04-25 02:16:31,10.2849,22.7882,77.81,57,80,5.03
139,Port Blair,IN,2021-04-25 02:16:31,11.6667,92.75,78.8,83,40,2.3
140,Yershov,RU,2021-04-25 02:16:31,51.3513,48.2766,41.11,76,0,14.65
141,Muisne,EC,2021-04-25 02:16:32,0.6,-80.0333,78.22,82,100,4.09
142,Huayang,CN,2021-04-25 02:16:32,34.4155,109.9939,44.91,85,100,2.84
143,Leningradskiy,RU,2021-04-25 02:14:29,69.3833,178.4167,32.47,85,100,1.39
144,Juazeiro,BR,2021-04-25 02:16:33,-9.4117,-40.4986,76.03,76,5,11.3
145,Sapulpa,US,2021-04-25 02:11:38,35.9987,-96.1142,64.4,72,1,4.38
146,Norman Wells,CA,2021-04-25 02:16:33,65.282,-126.8329,44.6,33,20,8.05
147,Fryanovo,RU,2021-04-25 02:16:34,56.1333,38.45,33.8,80,0,17.9
148,Chapais,CA,2021-04-25 02:16:34,49.7834,-74.8492,30.2,80,1,6.91
149,Vaini,TO,2021-04-25 02:16:34,-21.2,-175.2,84.2,74,40,9.22
150,Mitu,CO,2021-04-25 02:16:35,1.1983,-70.1733,73.56,96,92,1.05
151,Kalispell,US,2021-04-25 02:13:20,48.1958,-114.3129,44.01,81,90,10.36
152,Salinopolis,BR,2021-04-25 02:16:36,-0.6136,-47.3561,78.87,85,100,5.03
153,Hirara,JP,2021-04-25 02:16:36,24.8,125.2833,77.0,65,75,17.27
154,Kodiak,US,2021-04-25 02:12:14,57.79,-152.4072,42.8,87,90,9.22
155,Mahebourg,MU,2021-04-25 02:16:37,-20.4081,57.7,78.8,78,75,16.11
156,Sisimiut,GL,2021-04-25 02:16:37,66.9395,-53.6735,36.97,67,2,7.47
157,Copiapo,CL,2021-04-25 02:16:38,-27.3667,-70.3333,55.4,94,20,8.05
158,Akyab,MM,2021-04-25 02:16:38,20.15,92.9,82.51,64,99,3.62
159,Saskylakh,RU,2021-04-25 02:16:38,71.9167,114.0833,32.38,96,100,10.69
160,Iqaluit,CA,2021-04-25 02:16:39,63.7506,-68.5145,32.0,86,90,2.3
161,Cuiluan,CN,2021-04-25 02:16:39,47.72,128.648,47.75,28,6,10.63
162,Prieska,ZA,2021-04-25 02:16:39,-29.6641,22.7474,64.29,30,0,2.53
163,Avera,US,2021-04-25 02:16:40,33.194,-82.5271,63.0,94,90,5.75
164,Egvekinot,RU,2021-04-25 02:14:59,66.3167,-179.1667,27.73,97,100,4.85
165,Sulangan,PH,2021-04-25 02:12:04,11.1373,123.7228,82.42,72,69,5.86
166,Narsaq,GL,2021-04-25 02:16:41,60.9167,-46.05,53.6,30,75,36.82
167,Sobolevo,RU,2021-04-25 02:16:41,54.4299,31.8996,29.25,91,19,8.34
168,Beringovskiy,RU,2021-04-25 02:16:41,63.05,179.3167,32.63,92,100,3.04
169,Pincher Creek,CA,2021-04-25 02:16:42,49.4833,-113.952,32.0,93,90,2.3
170,Novyy Urengoy,RU,2021-04-25 02:14:05,66.0833,76.6333,30.7,89,100,3.31
171,Barrow,US,2021-04-25 02:13:56,71.2906,-156.7887,28.4,80,1,8.05
172,Fort Nelson,CA,2021-04-25 02:16:42,58.8053,-122.7002,46.4,25,40,12.66
173,Mareeba,AU,2021-04-25 02:16:43,-17.0,145.4333,80.01,100,90,11.5
174,San Cristobal,VE,2021-04-25 02:16:43,7.7669,-72.225,78.8,89,40,2.3
175,Tevaitoa,PF,2021-04-25 02:16:44,-16.7833,-151.5,79.25,73,94,9.06
176,Yalvac,TR,2021-04-25 02:16:44,38.2956,31.1778,55.78,59,100,5.44
177,Saurimo,AO,2021-04-25 02:16:44,-9.6608,20.3916,63.19,93,90,2.89
178,Kamenka,RU,2021-04-25 02:16:45,51.3223,42.7678,35.01,80,4,16.4
179,Poum,NC,2021-04-25 02:16:45,-20.2333,164.0167,78.42,78,100,8.77
180,Lagoa,PT,2021-04-25 02:16:46,39.05,-27.9833,59.27,76,46,22.66
181,Along,IN,2021-04-25 02:16:46,28.1667,94.7667,78.17,46,93,0.69
182,Tasiilaq,GL,2021-04-25 02:16:47,65.6145,-37.6368,39.2,75,75,11.5
183,Xining,CN,2021-04-25 02:16:47,36.6167,101.7667,39.96,94,100,2.71
184,Amapa,BR,2021-04-25 02:16:43,1.0,-52.0,73.02,98,97,2.73
185,Coquimbo,CL,2021-04-25 02:16:48,-29.9533,-71.3436,55.4,88,0,4.61
186,Suntar,RU,2021-04-25 02:16:48,62.1444,117.6319,39.76,76,100,4.83
187,Port-Cartier,CA,2021-04-25 02:13:02,50.0334,-66.8654,42.01,81,20,10.36
188,Khatanga,RU,2021-04-25 02:15:27,71.9667,102.5,29.41,91,100,21.74
189,Varamin,IR,2021-04-25 02:16:49,35.3242,51.6457,66.2,67,0,6.91
190,Buchanan,LR,2021-04-25 02:16:06,5.8808,-10.0467,78.75,86,100,5.48
191,Takoradi,GH,2021-04-25 02:15:35,4.8845,-1.7554,79.43,86,100,5.99
192,Yerbogachen,RU,2021-04-25 02:16:49,61.2767,108.0108,38.16,81,100,1.74
193,Pevek,RU,2021-04-25 02:16:50,69.7008,170.3133,26.51,94,100,6.44
194,Castro,BR,2021-04-25 02:16:50,-24.7911,-50.0119,58.03,80,74,4.03
195,Codrington,AU,2021-04-25 02:16:51,-38.2667,141.9667,59.9,70,61,9.6
196,Jega,NG,2021-04-25 02:16:51,12.2175,4.3792,83.59,49,100,15.14
197,Belaya Gora,RU,2021-04-25 02:16:51,68.5333,146.4167,18.72,82,47,9.06
198,Guerrero Negro,MX,2021-04-25 02:15:34,27.9769,-114.0611,59.61,79,4,18.68
199,Kaoma,ZM,2021-04-25 02:16:52,-14.7833,24.8,64.08,57,100,3.51
200,Mandalgovi,MN,2021-04-25 02:16:52,45.7625,106.2708,46.13,84,100,15.46
201,Zykovo,RU,2021-04-25 02:16:53,55.9519,93.1461,33.8,86,75,8.95
202,Sechura,PE,2021-04-25 02:16:53,-5.5569,-80.8222,70.47,73,100,17.11
203,Evensk,RU,2021-04-25 02:16:53,61.95,159.2333,27.41,91,100,11.23
204,Santa Cruz,BO,2021-04-25 02:14:43,-17.8,-63.1667,68.0,100,90,9.22
205,Nouadhibou,MR,2021-04-25 02:12:08,20.931,-17.0347,64.4,94,0,13.8
206,Vanimo,PG,2021-04-25 02:16:54,-2.6741,141.3028,78.39,87,100,3.56
207,Yellowknife,CA,2021-04-25 02:12:13,62.456,-114.3525,17.6,49,75,13.8
208,Los Llanos De Aridane,ES,2021-04-25 02:14:30,28.6585,-17.9182,68.0,49,75,9.22
209,Polignano A Mare,IT,2021-04-25 02:16:55,40.9959,17.2159,51.01,70,0,12.26
210,Antigonish,CA,2021-04-25 02:16:55,45.6169,-61.9986,39.99,87,26,1.01
211,Mount Gambier,AU,2021-04-25 02:14:33,-37.8333,140.7667,57.2,94,75,4.61
212,Dasoguz,TM,2021-04-25 02:16:56,41.8363,59.9666,55.4,44,27,9.22
213,Bredasdorp,ZA,2021-04-25 02:16:56,-34.5322,20.0403,50.0,93,100,5.75
214,Camacha,PT,2021-04-25 02:16:56,33.0833,-16.3333,62.6,77,40,16.11
215,Adrar,MR,2021-04-25 02:16:57,20.5022,-10.0711,77.32,13,6,9.4
216,Cabo San Lucas,MX,2021-04-25 02:12:35,22.8909,-109.9124,75.2,25,1,9.22
217,Carnarvon,AU,2021-04-25 02:16:24,-24.8667,113.6333,82.4,34,0,4.61
218,Kapit,MY,2021-04-25 02:16:57,2.0167,112.9333,86.49,65,65,2.13
219,Sao Jose Da Coroa Grande,BR,2021-04-25 02:16:58,-8.8978,-35.1478,77.9,78,12,5.17
220,Conceicao Das Alagoas,BR,2021-04-25 02:16:58,-19.9147,-48.3883,71.6,56,0,3.44
221,Ribeira Grande,PT,2021-04-25 02:16:17,38.5167,-28.7,59.45,74,75,18.75
222,Belyy Yar,RU,2021-04-25 02:16:59,53.6039,91.3903,44.6,33,0,11.18
223,Dhamtari,IN,2021-04-25 02:16:59,20.7072,81.5497,84.2,61,2,5.75
224,Yamada,JP,2021-04-25 02:17:00,39.4667,141.95,57.88,47,100,7.7
225,Ahipara,NZ,2021-04-25 02:13:51,-35.1667,173.1667,64.8,54,42,8.66
226,Gobabis,NA,2021-04-25 02:17:01,-22.45,18.9667,58.71,30,4,8.43
227,Hilo,US,2021-04-25 02:13:51,19.7297,-155.09,73.4,83,90,4.61
228,Esso,RU,2021-04-25 02:17:01,55.9333,158.7,34.77,99,100,3.71
229,Sinnamary,GF,2021-04-25 02:17:02,5.3833,-52.95,78.06,87,100,11.45
230,Port Macquarie,AU,2021-04-25 02:17:02,-31.4333,152.9167,73.0,59,0,1.01
231,Mahajanga,MG,2021-04-25 02:17:03,-15.7167,46.3167,75.2,78,20,6.91
232,Saint-Philippe,RE,2021-04-25 02:17:03,-21.3585,55.7679,78.8,73,94,23.02
233,Ust-Nera,RU,2021-04-25 02:17:04,64.5667,143.2,15.4,81,98,5.7
234,Sribne,UA,2021-04-25 02:17:04,50.6638,32.9187,31.57,82,2,7.83
235,Flin Flon,CA,2021-04-25 02:17:04,54.7682,-101.865,23.67,55,36,2.01
236,Sainte-Marie,RE,2021-04-25 02:17:05,-20.8968,55.5496,75.2,88,90,17.27
237,Zalakomar,HU,2021-04-25 02:17:05,46.538,17.1809,41.0,87,12,5.97
238,Port Moresby,PG,2021-04-25 02:17:06,-9.4431,147.1797,87.8,66,20,6.91
239,Victoria,HK,2021-04-25 02:17:06,22.2855,114.1577,80.01,83,89,1.99
240,Esperance,AU,2021-04-25 02:17:07,-33.8667,121.9,73.4,40,48,19.57
241,Misratah,LY,2021-04-25 02:17:08,32.3754,15.0925,60.96,78,3,13.87
242,Tiksi,RU,2021-04-25 02:17:08,71.6872,128.8694,32.63,92,100,11.34
243,Cidreira,BR,2021-04-25 02:14:38,-30.1811,-50.2056,68.14,85,91,8.55
244,San Quintin,MX,2021-04-25 02:17:09,30.4833,-115.95,59.18,80,2,15.28
245,Namatanai,PG,2021-04-25 02:17:09,-3.6667,152.4333,85.15,67,38,8.7
246,Severo-Kurilsk,RU,2021-04-25 02:17:10,50.6789,156.125,34.92,97,100,5.86
247,Mahibadhoo,MV,2021-04-25 02:17:10,3.7833,72.9667,83.14,74,44,7.85
248,Saint-Georges,GD,2021-04-25 02:14:31,12.0564,-61.7485,80.6,78,20,14.97
249,Quimper,FR,2021-04-25 02:17:11,48.0,-4.1,53.6,62,0,11.5
250,Ilulissat,GL,2021-04-25 02:17:11,69.2167,-51.1,46.4,46,1,27.63
251,Ixtapa,MX,2021-04-25 02:17:11,20.7,-105.2,78.8,73,75,8.05
252,Provideniya,RU,2021-04-25 02:12:15,64.3833,-173.3,40.03,72,100,1.5
253,Miyako,JP,2021-04-25 02:17:12,39.6367,141.9525,57.25,50,100,3.69
254,Dhidhdhoo,MV,2021-04-25 02:17:12,6.8833,73.1,83.73,69,44,2.86
255,Sumbe,AO,2021-04-25 02:17:13,-11.2061,13.8437,78.39,89,100,5.82
256,Cayenne,GF,2021-04-25 02:14:01,4.9333,-52.3333,79.0,89,90,3.44
257,Caravelas,BR,2021-04-25 02:17:14,-17.7125,-39.2481,73.4,89,0,4.81
258,Saint-Ambroise,CA,2021-04-25 02:17:14,48.5501,-71.3324,53.6,30,44,9.22
259,Shingu,JP,2021-04-25 02:17:14,33.7333,135.9833,68.0,64,75,12.66
260,Rognan,NO,2021-04-25 02:17:15,67.0953,15.3878,32.0,79,83,1.79
261,Motygino,RU,2021-04-25 02:16:48,58.1831,94.7592,34.41,99,100,5.95
262,Zhigansk,RU,2021-04-25 02:17:15,66.7697,123.3711,33.71,99,100,6.67
263,Coroisanmartin,RO,2021-04-25 02:17:16,46.4,24.6,32.0,93,86,2.3
264,Placido De Castro,BR,2021-04-25 02:17:16,-10.3353,-67.1856,75.45,86,21,1.99
265,Kropotkin,RU,2021-04-25 02:17:17,45.4375,40.5756,42.98,69,100,3.06
266,Bathsheba,BB,2021-04-25 02:17:17,13.2167,-59.5167,78.8,61,20,18.41
267,Sakit,IN,2021-04-25 02:17:17,27.45,78.8167,80.02,19,0,11.5
268,Baykit,RU,2021-04-25 02:17:18,61.67,96.37,39.06,88,100,3.04
269,Newport,GB,2021-04-25 02:16:20,51.5877,-2.9984,43.0,75,3,11.5
270,Escanaba,US,2021-04-25 02:15:26,45.7453,-87.0646,32.0,86,90,10.36
